City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
170,ginir,7.1333,40.7,12.35,70,21,2.28,ET,1667264295
171,itarema,-2.9248,-39.9167,25.8,81,11,6.56,BR,1667264296
172,hurghada,27.2574,33.8129,22.02,30,0,5.66,EG,1667264221
173,namatanai,-3.6667,152.4333,30.33,66,85,2.65,PG,1667264296
174,ornskoldsvik,63.2909,18.7153,4.53,93,9,5.14,SE,1667264296
175,praia,14.9215,-23.5087,26.3,65,0,4.63,CV,1667264297
176,omsukchan,62.5333,155.8,-20.11,97,31,1.11,RU,1667264231
177,coos bay,43.3665,-124.2179,12.95,97,100,2.06,US,1667264297
178,visby,57.6409,18.296,10.12,100,100,1.03,SE,1667264298
179,nevelsk,46.6733,141.8633,11.12,73,100,5.83,RU,1667264299
180,krasnoarmeysk,51.0239,45.6969,-1.32,86,13,4.97,RU,1667264299
181,okhotsk,59.3833,143.3,-3.87,81,100,4.05,RU,1667264299
182,west fargo,46.875,-96.9004,14.43,44,0,2.06,US,1667264229
183,sisimiut,66.9395,-53.6735,-3.66,86,98,2.95,GL,1667264300
184,batesville,35.7698,-91.641,18.69,72,6,1.26,US,1667264170
185,port hedland,-20.3167,118.5667,26.03,9,23,9.26,AU,1667264300
186,susacon,6.2298,-72.6901,12.69,87,88,0.66,CO,1667264301
187,carutapera,-1.195,-46.02,26.75,79,96,4.14,BR,1667264301
188,alofi,-19.0595,-169.9187,28.94,74,40,5.14,NU,1667264301
189,krasnyy chikoy,50.3643,108.7512,-9.54,79,26,0.62,RU,1667264302
190,bukachacha,52.9833,116.9167,-8.61,56,66,5.72,RU,1667264302
191,longyearbyen,78.2186,15.6401,-1.09,86,75,1.03,SJ,1667264302
192,jinhua,29.1078,119.6547,17.08,69,99,3.38,CN,1667264302
193,resistencia,-27.4606,-58.9839,14.49,52,0,4.12,AR,1667264303
194,coahuayana,18.7333,-103.6833,23.95,89,1,0.74,MX,1667264303
195,ostersund,63.1792,14.6357,3.12,100,18,3.58,SE,1667264303
196,tome,-36.6167,-72.95,20.34,40,0,5.56,CL,1667264304
197,bagratashen,41.2436,44.8174,10.22,64,56,2.49,AM,1667264304
198,zhanakorgan,43.9098,67.2495,7.63,58,69,2.63,KZ,1667264304
199,sitka,57.0531,-135.33,2.67,83,60,2.14,US,1667264305
200,kenai,60.5544,-151.2583,-1.03,60,59,5.14,US,1667264305
201,chimbote,-9.0853,-78.5783,16.48,85,46,3.82,PE,1667264305
202,barcelos,41.5388,-8.6151,13.25,91,1,1.15,PT,1667264305
203,tandalti,13.0167,31.8667,27.8,24,65,4.27,SD,1667264306
204,vyazovaya,54.905,58.3561,3.71,98,100,0.93,RU,1667264306
205,vila franca do campo,37.7167,-25.4333,14.0,75,90,2.24,PT,1667264306
206,iqaluit,63.7506,-68.5145,-8.15,79,100,0.0,CA,1667264307
207,priladozhskiy,59.85,31.4833,1.71,78,100,2.32,RU,1667264307
208,grove city,39.8815,-83.093,16.62,89,100,4.63,US,1667264307
209,saskylakh,71.9167,114.0833,-11.14,92,100,6.56,RU,1667264308
210,puri,19.8,85.85,22.29,72,76,3.53,IN,1667264308
211,kurumkan,54.3,110.3,-9.15,63,17,1.44,RU,1667264308
212,mahebourg,-20.4081,57.7,22.36,88,75,6.69,MU,1667264109
213,kieta,-6.2167,155.6333,28.87,76,33,1.93,PG,1667264309
214,airai,-8.9266,125.4092,22.33,69,100,0.69,TL,1667264309
215,erzin,36.9559,36.2,18.29,61,4,1.09,TR,1667264309
216,sorong,-0.8833,131.25,29.22,68,100,1.12,ID,1667264310
217,nicoya,10.1483,-85.452,23.11,91,43,0.71,CR,1667264311
